,Unnamed: 0,path,mask_state,age,gender,class,pred,folder
4564,4564,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/mask1.jpg,Wear,26,male,0,1,001336_male_Asian_26
4565,4565,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/normal.jpg,Not Wear,26,male,12,16,001336_male_Asian_26
4566,4566,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/incorrect_mask.jpg,Incorrect,26,male,6,7,001336_male_Asian_26
4567,4567,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/mask2.jpg,Wear,26,male,0,4,001336_male_Asian_26
4568,4568,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/mask4.jpg,Wear,26,male,0,4,001336_male_Asian_26
4569,4569,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/mask5.jpg,Wear,26,male,0,1,001336_male_Asian_26
4570,4570,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001336_male_Asian_26/mask3.jpg,Wear,26,male,0,1,001336_male_Asian_26
4571,4571,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001337_female_Asian_25/mask1.jpg,Wear,25,female,3,4,001337_female_Asian_25
4574,4574,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001337_female_Asian_25/mask2.jpg,Wear,25,female,3,4,001337_female_Asian_25
4575,4575,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001337_female_Asian_25/mask4.jpg,Wear,25,female,3,4,001337_female_Asian_25
4576,4576,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001337_female_Asian_25/mask5.jpg,Wear,25,female,3,4,001337_female_Asian_25
4577,4577,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001337_female_Asian_25/mask3.jpg,Wear,25,female,3,4,001337_female_Asian_25
4585,4585,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/mask1.jpg,Wear,26,female,3,4,001339_female_Asian_26
4586,4586,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/normal.jpg,Not Wear,26,female,15,16,001339_female_Asian_26
4587,4587,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/incorrect_mask.jpg,Incorrect,26,female,9,10,001339_female_Asian_26
4588,4588,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/mask2.jpg,Wear,26,female,3,4,001339_female_Asian_26
4589,4589,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/mask4.jpg,Wear,26,female,3,4,001339_female_Asian_26
4590,4590,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/mask5.jpg,Wear,26,female,3,4,001339_female_Asian_26
4591,4591,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001339_female_Asian_26/mask3.jpg,Wear,26,female,3,4,001339_female_Asian_26
4602,4602,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001341_male_Asian_58/mask2.jpg,Wear,58,male,1,2,001341_male_Asian_58
4603,4603,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001341_male_Asian_58/mask4.jpg,Wear,58,male,1,2,001341_male_Asian_58
4604,4604,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001341_male_Asian_58/mask5.jpg,Wear,58,male,1,2,001341_male_Asian_58
4605,4605,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001341_male_Asian_58/mask3.jpg,Wear,58,male,1,2,001341_male_Asian_58
4613,4613,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001348_female_Asian_22/mask1.jpg,Wear,22,female,3,4,001348_female_Asian_22
4616,4616,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001348_female_Asian_22/mask2.jpg,Wear,22,female,3,4,001348_female_Asian_22
4618,4618,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001348_female_Asian_22/mask5.jpg,Wear,22,female,3,4,001348_female_Asian_22
4627,4627,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001352_female_Asian_18/mask1.jpg,Wear,18,female,3,4,001352_female_Asian_18
4629,4629,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001352_female_Asian_18/incorrect_mask.jpg,Incorrect,18,female,9,10,001352_female_Asian_18
4631,4631,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001352_female_Asian_18/mask4.jpg,Wear,18,female,3,4,001352_female_Asian_18
4632,4632,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001352_female_Asian_18/mask5.jpg,Wear,18,female,3,4,001352_female_Asian_18
4641,4641,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001355_female_Asian_22/mask1.jpg,Wear,22,female,3,4,001355_female_Asian_22
4645,4645,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001355_female_Asian_22/mask4.jpg,Wear,22,female,3,4,001355_female_Asian_22
4646,4646,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001355_female_Asian_22/mask5.jpg,Wear,22,female,3,4,001355_female_Asian_22
4655,4655,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/mask1.jpg,Wear,25,female,3,4,001357_female_Asian_25
4657,4657,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/incorrect_mask.jpg,Incorrect,25,female,9,10,001357_female_Asian_25
4658,4658,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/mask2.jpg,Wear,25,female,3,4,001357_female_Asian_25
4659,4659,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/mask4.jpg,Wear,25,female,3,4,001357_female_Asian_25
4660,4660,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/mask5.jpg,Wear,25,female,3,4,001357_female_Asian_25
4661,4661,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001357_female_Asian_25/mask3.jpg,Wear,25,female,3,4,001357_female_Asian_25
4662,4662,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/mask1.jpg,Wear,29,female,3,4,001358_female_Asian_29
4663,4663,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/normal.jpg,Not Wear,29,female,15,16,001358_female_Asian_29
4664,4664,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/incorrect_mask.jpg,Incorrect,29,female,9,10,001358_female_Asian_29
4665,4665,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/mask2.jpg,Wear,29,female,3,4,001358_female_Asian_29
4666,4666,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/mask4.jpg,Wear,29,female,3,4,001358_female_Asian_29
4668,4668,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001358_female_Asian_29/mask3.jpg,Wear,29,female,3,4,001358_female_Asian_29
4676,4676,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/mask1.jpg,Wear,24,female,3,4,001359-1_female_Asian_24
4677,4677,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/normal.jpg,Not Wear,24,female,15,16,001359-1_female_Asian_24
4678,4678,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/incorrect_mask.jpg,Incorrect,24,female,9,10,001359-1_female_Asian_24
4679,4679,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/mask2.jpg,Wear,24,female,3,4,001359-1_female_Asian_24
4680,4680,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/mask4.jpg,Wear,24,female,3,4,001359-1_female_Asian_24
4681,4681,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/mask5.jpg,Wear,24,female,3,4,001359-1_female_Asian_24
4682,4682,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001359-1_female_Asian_24/mask3.jpg,Wear,24,female,3,4,001359-1_female_Asian_24
4687,4687,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001360_male_Asian_26/mask4.jpg,Wear,26,male,0,4,001360_male_Asian_26
4690,4690,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/mask1.jpg,Wear,28,female,3,4,001362_female_Asian_28
4691,4691,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/normal.jpg,Not Wear,28,female,15,16,001362_female_Asian_28
4692,4692,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/incorrect_mask.jpg,Incorrect,28,female,9,10,001362_female_Asian_28
4693,4693,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/mask2.jpg,Wear,28,female,3,4,001362_female_Asian_28
4694,4694,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/mask4.jpg,Wear,28,female,3,4,001362_female_Asian_28
4695,4695,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/mask5.jpg,Wear,28,female,3,4,001362_female_Asian_28
4696,4696,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001362_female_Asian_28/mask3.jpg,Wear,28,female,3,4,001362_female_Asian_28
4704,4704,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001364_male_Asian_28/mask1.jpg,Wear,28,male,0,4,001364_male_Asian_28
4740,4740,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001376_female_Asian_58/normal.jpg,Not Wear,58,female,16,17,001376_female_Asian_58
4754,4754,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001381_male_Asian_23/normal.jpg,Not Wear,23,male,12,16,001381_male_Asian_23
4788,4788,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001388_male_Asian_21/mask1.jpg,Wear,21,male,0,4,001388_male_Asian_21
4790,4790,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001388_male_Asian_21/incorrect_mask.jpg,Incorrect,21,male,6,10,001388_male_Asian_21
4794,4794,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001388_male_Asian_21/mask3.jpg,Wear,21,male,0,4,001388_male_Asian_21
4985,4985,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001441_female_Asian_54/normal.jpg,Not Wear,54,female,16,17,001441_female_Asian_54
4986,4986,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001441_female_Asian_54/incorrect_mask.jpg,Incorrect,54,female,10,11,001441_female_Asian_54
5005,5005,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/mask1.jpg,Wear,60,male,2,1,001444_male_Asian_60
5006,5006,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001444_male_Asian_60
5007,5007,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001444_male_Asian_60
5008,5008,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/mask2.jpg,Wear,60,male,2,1,001444_male_Asian_60
5009,5009,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/mask4.jpg,Wear,60,male,2,1,001444_male_Asian_60
5010,5010,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/mask5.jpg,Wear,60,male,2,1,001444_male_Asian_60
5011,5011,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001444_male_Asian_60/mask3.jpg,Wear,60,male,2,1,001444_male_Asian_60
5056,5056,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001454_female_Asian_49/incorrect_mask.jpg,Incorrect,49,female,10,9,001454_female_Asian_49
5062,5062,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001455_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001455_female_Asian_60
5089,5089,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/mask1.jpg,Wear,60,female,5,4,001459_female_Asian_60
5090,5090,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001459_female_Asian_60
5091,5091,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001459_female_Asian_60
5092,5092,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/mask2.jpg,Wear,60,female,5,4,001459_female_Asian_60
5093,5093,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/mask4.jpg,Wear,60,female,5,4,001459_female_Asian_60
5094,5094,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/mask5.jpg,Wear,60,female,5,4,001459_female_Asian_60
5095,5095,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001459_female_Asian_60/mask3.jpg,Wear,60,female,5,4,001459_female_Asian_60
5117,5117,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/mask1.jpg,Wear,60,male,2,1,001464_male_Asian_60
5118,5118,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001464_male_Asian_60
5119,5119,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001464_male_Asian_60
5120,5120,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/mask2.jpg,Wear,60,male,2,1,001464_male_Asian_60
5121,5121,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/mask4.jpg,Wear,60,male,2,1,001464_male_Asian_60
5122,5122,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/mask5.jpg,Wear,60,male,2,1,001464_male_Asian_60
5123,5123,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464_male_Asian_60/mask3.jpg,Wear,60,male,2,1,001464_male_Asian_60
5126,5126,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001464-1_female_Asian_56/incorrect_mask.jpg,Incorrect,56,female,10,4,001464-1_female_Asian_56
5138,5138,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/mask1.jpg,Wear,60,female,5,4,001468_female_Asian_60
5139,5139,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001468_female_Asian_60
5140,5140,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,4,001468_female_Asian_60
5141,5141,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/mask2.jpg,Wear,60,female,5,4,001468_female_Asian_60
5142,5142,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/mask4.jpg,Wear,60,female,5,4,001468_female_Asian_60
5143,5143,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/mask5.jpg,Wear,60,female,5,4,001468_female_Asian_60
5144,5144,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001468_female_Asian_60/mask3.jpg,Wear,60,female,5,4,001468_female_Asian_60
5154,5154,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001471_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001471_female_Asian_60
5193,5193,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001477_male_Asian_57/mask3.jpg,Wear,57,male,1,2,001477_male_Asian_57
5201,5201,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001480_female_Asian_60/mask1.jpg,Wear,60,female,5,4,001480_female_Asian_60
5202,5202,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001480_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001480_female_Asian_60
5203,5203,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001480_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001480_female_Asian_60
5204,5204,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001480_female_Asian_60/mask2.jpg,Wear,60,female,5,4,001480_female_Asian_60
5216,5216,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001482_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001482_female_Asian_60
5217,5217,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001482_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001482_female_Asian_60
5237,5237,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001486_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001486_female_Asian_60
5243,5243,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001487_female_Asian_60/mask1.jpg,Wear,60,female,5,4,001487_female_Asian_60
5245,5245,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001487_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001487_female_Asian_60
5299,5299,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/mask1.jpg,Wear,60,male,2,1,001494_male_Asian_60
5300,5300,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001494_male_Asian_60
5301,5301,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001494_male_Asian_60
5302,5302,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/mask2.jpg,Wear,60,male,2,1,001494_male_Asian_60
5303,5303,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/mask4.jpg,Wear,60,male,2,1,001494_male_Asian_60
5304,5304,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/mask5.jpg,Wear,60,male,2,1,001494_male_Asian_60
5305,5305,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001494_male_Asian_60/mask3.jpg,Wear,60,male,2,1,001494_male_Asian_60
5335,5335,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001497_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001497_male_Asian_60
5336,5336,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001497_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001497_male_Asian_60
5339,5339,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001497_male_Asian_60/mask5.jpg,Wear,60,male,2,1,001497_male_Asian_60
5348,5348,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/mask1.jpg,Wear,23,male,0,3,001498-1_male_Asian_23
5349,5349,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/normal.jpg,Not Wear,23,male,12,15,001498-1_male_Asian_23
5350,5350,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/incorrect_mask.jpg,Incorrect,23,male,6,9,001498-1_male_Asian_23
5351,5351,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/mask2.jpg,Wear,23,male,0,3,001498-1_male_Asian_23
5352,5352,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/mask4.jpg,Wear,23,male,0,3,001498-1_male_Asian_23
5353,5353,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/mask5.jpg,Wear,23,male,0,3,001498-1_male_Asian_23
5354,5354,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001498-1_male_Asian_23/mask3.jpg,Wear,23,male,0,3,001498-1_male_Asian_23
5370,5370,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001502_female_Asian_18/normal.jpg,Not Wear,18,female,15,16,001502_female_Asian_18
5419,5419,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001510_female_Asian_18/normal.jpg,Not Wear,18,female,15,16,001510_female_Asian_18
5446,5446,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001514_female_Asian_22/mask1.jpg,Wear,22,female,3,4,001514_female_Asian_22
5447,5447,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001514_female_Asian_22/normal.jpg,Not Wear,22,female,15,12,001514_female_Asian_22
5481,5481,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001518_male_Asian_60/mask1.jpg,Wear,60,male,2,1,001518_male_Asian_60
5482,5482,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001518_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001518_male_Asian_60
5483,5483,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001518_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001518_male_Asian_60
5519,5519,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001524_female_Asian_25/mask2.jpg,Wear,25,female,3,9,001524_female_Asian_25
5523,5523,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/mask1.jpg,Wear,60,female,5,4,001525_female_Asian_60
5524,5524,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/normal.jpg,Not Wear,60,female,17,16,001525_female_Asian_60
5525,5525,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001525_female_Asian_60
5526,5526,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/mask2.jpg,Wear,60,female,5,4,001525_female_Asian_60
5527,5527,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/mask4.jpg,Wear,60,female,5,4,001525_female_Asian_60
5528,5528,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/mask5.jpg,Wear,60,female,5,4,001525_female_Asian_60
5529,5529,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001525_female_Asian_60/mask3.jpg,Wear,60,female,5,4,001525_female_Asian_60
5539,5539,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001527_female_Asian_60/incorrect_mask.jpg,Incorrect,60,female,11,10,001527_female_Asian_60
5544,5544,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001528_female_Asian_34/mask1.jpg,Wear,34,female,4,3,001528_female_Asian_34
5547,5547,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001528_female_Asian_34/mask2.jpg,Wear,34,female,4,3,001528_female_Asian_34
5548,5548,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001528_female_Asian_34/mask4.jpg,Wear,34,female,4,3,001528_female_Asian_34
5549,5549,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001528_female_Asian_34/mask5.jpg,Wear,34,female,4,3,001528_female_Asian_34
5550,5550,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001528_female_Asian_34/mask3.jpg,Wear,34,female,4,3,001528_female_Asian_34
5600,5600,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001537_male_Asian_60/mask1.jpg,Wear,60,male,2,1,001537_male_Asian_60
5601,5601,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001537_male_Asian_60/normal.jpg,Not Wear,60,male,14,13,001537_male_Asian_60
5602,5602,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001537_male_Asian_60/incorrect_mask.jpg,Incorrect,60,male,8,7,001537_male_Asian_60
5603,5603,/opt/ml/repo/level1_imageclassification_cv-level1-cv-06/T4064/dataset/train/images/001537_male_Asian_60/mask2.jpg,Wear,60,male,2,1,001537_male_Asian_60
